artist,track,time,date_e,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76
"Aguilera, Christina",What A Girl Wants,3:18,11/27/1999,71,51,28,18,13,13,11,1,1,2,2,3,3,4,12,11,13,15,18,20,30,40,39,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Horizon,Everything You Want,4:01,1/22/2000,70,61,53,46,40,33,31,26,22,19,17,15,13,9,9,8,8,6,7,7,8,3,3,6,6,1,2,3,4,7,9,10,18,20,27,29,36,40,50,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed,With Arms Wide Open,3:52,5/13/2000,84,78,76,74,70,68,74,75,69,74,70,79,84,86,76,62,45,29,19,11,10,7,5,3,3,3,1,2,2,3,3,3,4,5,5,5,5,9,12,13,13,17,22,26,28,37,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaliyah,Try Again,4:03,3/18/2000,59,53,38,28,21,18,16,14,12,10,9,8,6,1,2,2,2,2,3,4,5,5,6,9,13,14,16,23,22,33,36,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchbox twenty,Bent,4:12,4/29/2000,60,37,29,24,22,21,18,16,13,12,8,6,1,2,3,2,2,3,4,5,4,4,6,9,12,13,19,20,20,24,29,28,27,30,33,37,38,38,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Mariah",Thank God I Found You,4:14,12/11/1999,82,68,50,50,41,37,26,22,22,2,1,2,4,13,21,28,43,57,82,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Breathe,4:04,11/6/1999,81,68,62,51,42,35,28,28,28,43,30,23,23,21,21,21,5,3,3,4,4,3,3,3,2,2,3,3,2,2,3,4,2,5,8,11,13,14,18,22,23,22,24,30,31,31,38,39,42,49,49,48,47,,,,,,,,,,,,,,,,,,,,,,,
Mya,Case Of The Ex (Whatcha Gonna Do),3:50,8/19/2000,72,57,52,47,42,31,24,18,17,17,17,10,9,9,7,2,2,2,3,4,4,4,4,8,11,15,19,24,23,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream,He Loves U Not,3:43,9/30/2000,99,92,81,59,47,42,32,27,18,18,11,8,5,2,2,3,3,3,7,9,10,11,10,19,23,28,38,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braxton, Toni",He Wasn't Man Enough,4:21,3/18/2000,63,55,48,39,35,24,3,2,2,4,4,5,11,12,16,15,14,14,12,10,11,13,13,13,15,16,14,13,17,19,23,29,37,33,34,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthony, Marc",You Sang To Me,3:50,2/26/2000,77,54,50,43,30,27,21,18,15,13,13,13,13,5,2,2,5,7,9,12,12,16,20,20,22,25,26,29,35,33,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98¡,Give Me Just One Night (Una Noche),3:24,8/19/2000,51,39,34,26,26,19,2,2,3,6,7,22,29,36,47,67,66,84,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny's Child,Jumpin' Jumpin',3:48,5/13/2000,74,71,65,62,57,50,40,37,22,18,13,8,6,4,3,4,3,3,3,3,4,4,6,7,6,8,10,15,24,30,35,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Doors Down,Kryptonite,3:53,4/8/2000,81,70,68,67,66,57,54,53,51,51,51,51,47,44,38,28,22,18,18,14,12,7,6,6,6,5,5,4,4,4,4,3,3,3,4,5,5,9,9,15,14,13,14,16,17,21,22,24,28,33,42,42,49,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Thong Song,4:05,1/29/2000,74,63,35,26,26,23,20,16,13,10,6,6,5,4,4,4,3,3,4,3,7,8,13,17,24,31,43,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilera, Christina",I Turn To You,4:00,4/15/2000,50,39,30,28,21,19,20,17,17,17,17,3,3,7,10,17,25,29,29,40,43,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",My Love Is Your Love,4:16,9/4/1999,81,68,44,16,11,9,8,7,8,7,8,8,6,6,5,5,5,5,4,6,10,10,11,20,22,27,34,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,I Wanna Know,4:57,1/1/2000,94,86,69,50,41,33,32,28,28,27,27,25,23,20,17,15,14,11,11,14,11,11,10,12,10,6,4,5,4,5,5,7,6,8,5,6,9,9,8,14,16,20,32,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan, Montell",Get It On.. Tonite,4:34,10/23/1999,92,80,72,69,67,61,54,43,38,24,24,20,19,15,15,5,4,4,7,10,5,9,9,7,9,10,10,15,18,23,30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Sync,Bye Bye Bye,3:15,1/29/2000,42,20,19,14,13,7,6,5,5,5,5,4,4,6,6,7,9,12,18,20,27,34,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Real Slim Shady,4:42,5/6/2000,70,32,20,16,11,7,6,4,5,4,8,9,16,30,49,68,83,88,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,Most Girls,4:06,8/12/2000,85,70,52,36,27,21,15,13,12,8,5,5,5,6,5,4,6,8,11,14,14,16,18,21,26,39,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mumba, Samantha",Gotta Tell You,3:19,9/9/2000,85,72,65,49,39,25,20,10,9,8,6,5,7,4,6,7,13,17,17,23,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaque,Bring It All To Me,3:46,10/23/1999,73,63,50,42,24,19,17,14,11,9,9,9,10,5,5,6,8,9,15,15,18,17,18,19,19,22,26,32,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,11/27/1999,36,21,13,9,7,7,5,7,7,7,8,11,7,10,11,12,15,17,23,30,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, Macy",I Try,3:52,2/19/2000,68,51,47,36,30,20,15,12,8,7,7,7,6,5,6,9,10,11,14,16,16,16,21,27,34,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Sync,This I Promise You,4:23,9/30/2000,68,31,19,15,11,6,7,7,6,5,6,7,10,12,11,9,11,12,20,22,26,30,30,39,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruff Endz,No More,3:56,7/1/2000,76,38,19,17,12,15,12,10,7,5,8,8,10,12,14,15,19,23,21,18,19,22,23,24,33,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,1/1/2000,74,62,55,25,16,14,12,10,12,9,7,6,6,6,8,9,13,19,23,26,32,34,45,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Days,Absolutely (Story Of A Girl),3:09,5/6/2000,85,71,59,52,39,34,26,20,17,13,11,6,6,8,8,7,8,9,11,12,14,18,26,30,36,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dion, Celine",That's The Way It Is,4:03,11/13/1999,74,68,65,49,44,34,30,30,17,14,11,8,9,10,11,11,6,8,7,7,9,10,14,16,26,31,35,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink-182,All The Small Things,2:52,12/4/1999,89,76,69,59,59,51,50,35,26,15,7,6,8,8,9,11,14,16,18,23,33,41,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiffel 65,Blue (Da Ba Dee),3:29,12/11/1999,67,29,16,16,13,11,9,6,7,9,13,19,21,24,32,42,56,60,76,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Badu, Erkyah",Bag Lady,5:03,8/19/2000,67,53,42,41,48,42,34,6,9,9,8,11,15,21,26,29,26,38,56,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,There U Go,3:23,3/4/2000,25,15,12,11,11,7,7,12,14,15,15,17,19,16,15,14,12,10,10,10,8,9,12,16,20,22,33,39,39,41,46,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed,Higher,5:16,9/11/1999,81,77,73,63,61,58,56,52,56,57,57,57,57,57,60,61,61,57,60,61,,,,,,,,,43,41,34,28,25,23,22,16,16,18,14,13,13,11,11,9,9,7,7,9,9,12,14,16,17,17,21,26,29,32,39,39,43,47,50,50,49,,,,,,,,,,,
Nelly,(Hot S**t) Country Grammar,4:17,4/29/2000,100,99,96,76,55,37,24,24,30,36,37,30,23,21,17,17,15,11,11,10,7,7,8,10,11,12,12,17,19,23,33,37,36,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next,Wifey,4:03,5/27/2000,85,61,46,40,36,31,25,22,25,24,21,20,19,19,8,7,10,12,21,25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny G,Auld Lang Syne (The Millenium Mix),7:50,12/25/1999,89,89,7,8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonique,It Feels So Good,3:48,1/22/2000,67,52,30,23,19,17,16,16,14,12,13,13,11,8,10,10,11,14,17,19,21,31,38,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",Oops!.. I Did It Again,3:30,4/22/2000,67,38,26,19,15,13,12,9,9,10,14,15,17,24,35,49,77,85,90,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",Shape Of My Heart,3:49,10/14/2000,39,25,24,15,12,12,10,9,10,12,17,19,29,26,24,31,52,63,62,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everclear,Wonderful,4:30,7/8/2000,77,69,53,37,33,25,24,23,22,25,28,25,11,13,13,11,18,28,36,39,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja Rule,Between Me And You,4:05,9/16/2000,85,74,61,37,27,22,22,16,14,11,11,14,17,18,18,21,30,30,42,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimes, LeAnn",I Need You,3:42,5/27/2000,77,68,67,63,59,59,59,53,51,50,13,11,11,15,12,12,13,16,19,21,21,24,25,30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smash Mouth,Then The Morning Comes,3:04,10/30/1999,83,59,56,46,27,23,19,16,14,14,16,15,12,11,13,17,20,23,24,25,27,31,33,35,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,10/28/2000,58,45,35,26,23,19,14,14,13,11,12,12,12,15,15,19,24,28,29,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Edge,Let's Get Married,4:23,5/6/2000,77,66,55,45,38,42,33,29,28,26,23,15,11,14,14,17,20,20,21,23,24,29,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Take A Picture,4:23,11/27/1999,91,74,64,52,38,38,34,31,21,19,12,13,15,20,19,22,23,24,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",She Bangs,4:02,10/7/2000,38,28,21,21,18,16,13,13,12,20,22,29,43,54,55,73,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystikal,Shake Ya Ass,4:46,8/12/2000,97,90,65,41,34,25,22,15,15,14,14,13,13,13,17,19,24,30,42,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBMak,Back Here,3:35,4/29/2000,99,86,60,52,38,34,28,21,18,18,19,15,18,13,16,15,16,16,17,15,18,17,16,22,24,30,36,37,42,45,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",From The Bottom Of My Broken Heart,4:30,1/29/2000,76,59,52,52,14,14,17,24,33,35,41,45,54,64,64,81,97,92,86,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Eye Blind,Never Let You Go,3:57,1/22/2000,65,32,25,24,23,22,22,21,19,16,14,16,16,17,18,21,22,25,27,33,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hot Chili Peppers,Otherside,4:13,2/12/2000,80,72,65,52,51,49,40,37,32,29,29,29,29,24,18,14,15,16,19,22,29,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profyle,Liar,3:57,9/16/2000,52,32,25,17,16,16,14,19,24,33,35,43,54,61,69,75,86,81,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barenaked Ladies,Pinch Me,3:46,9/9/2000,77,76,69,45,51,37,33,29,26,25,16,15,15,19,19,20,22,20,21,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Edge,He Can't Love U,3:30,12/11/1999,54,32,17,17,15,18,18,18,18,25,24,24,26,33,44,51,53,65,69,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504 Boyz,Wobble Wobble,3:35,4/15/2000,57,34,25,17,17,31,36,49,53,57,64,70,75,76,78,85,92,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sting,Desert Rose,3:52,5/13/2000,98,88,72,59,55,52,45,35,24,21,19,19,19,19,18,17,19,19,24,26,30,32,42,45,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Big Pimpin',3:55,4/22/2000,69,52,39,33,28,25,25,23,20,19,21,18,20,20,26,29,35,33,41,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kid Rock,Only God Knows Why,5:27,2/19/2000,63,47,46,39,35,26,26,23,19,19,21,25,25,29,32,44,52,62,69,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foo Fighters,Learn To Fly,3:55,10/16/1999,80,69,68,63,60,52,42,32,30,25,22,22,26,20,19,20,26,30,35,42,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Goodbye Earl,4:19,3/18/2000,40,29,24,24,20,20,20,19,38,61,86,88,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy,Dancin',4:08,12/18/1999,46,29,19,22,36,44,58,58,68,75,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Bow Wow,Bounce With Me,3:22,8/19/2000,48,35,24,24,20,20,20,20,22,27,27,36,40,53,61,69,80,90,99,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westlife,Swear It Again,4:07,4/1/2000,96,82,66,55,55,46,44,44,37,35,32,25,21,20,20,25,30,33,45,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train,Meet Virginia,3:55,10/9/1999,76,67,59,54,48,45,40,32,26,24,22,21,21,24,21,20,21,24,28,30,32,37,37,42,46,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Carl",I Wish,3:50,3/25/2000,75,64,48,39,32,28,24,20,22,21,22,26,23,24,27,28,42,44,52,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanson,This Time Around,4:14,4/22/2000,22,22,20,45,87,71,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Jessica",I Think I'm In Love With You,3:32,7/1/2000,63,52,44,29,25,23,21,21,21,27,38,38,57,74,89,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludacris,What's Your Fantasy,4:16,9/30/2000,89,83,63,55,49,40,33,32,30,25,22,21,24,24,24,27,25,34,32,35,41,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil' Zane,Callin' Me,3:43,7/29/2000,83,89,57,40,34,21,33,46,45,59,67,84,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2M,Don't Say You Love Me,3:41,11/20/1999,72,53,62,46,54,44,44,21,64,92,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoulDecision,Faded,3:25,7/8/2000,94,90,81,64,56,43,35,27,25,22,22,27,27,27,31,31,30,34,31,34,34,38,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock, Chad",Yes!,3:22,4/8/2000,90,77,66,61,59,47,39,33,32,31,28,27,22,27,31,39,45,50,53,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",Shake Your Bon-Bon,3:08,11/20/1999,74,66,52,39,39,39,39,46,47,54,91,28,22,33,46,70,87,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Horizon,You're A God,3:45,8/26/2000,64,55,43,41,37,31,30,29,28,26,23,23,25,32,32,37,37,41,46,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant,Separated,4:13,4/29/2000,62,32,30,23,26,30,35,32,32,25,23,28,27,29,27,31,31,33,40,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimes, LeAnn",Big Deal,3:03,10/16/1999,71,52,51,51,51,48,41,37,29,26,26,23,30,28,27,25,31,43,56,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMx,Stay The Night,3:37,10/9/1999,84,61,45,43,40,38,36,31,34,34,40,36,36,23,41,62,70,71,79,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,The Next Episode,2:38,5/27/2000,78,67,58,53,46,41,32,27,26,23,26,27,32,32,44,46,47,50,52,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",Lucky,3:23,8/12/2000,61,41,28,26,23,29,30,40,66,86,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savage Garden,Crash And Burn,4:41,4/8/2000,75,58,51,36,33,31,26,24,24,29,34,39,46,47,48,49,58,63,73,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandi,Don't Think I'm Not,3:50,8/5/2000,66,66,66,61,49,42,36,33,28,24,26,26,28,29,27,31,31,26,25,25,30,40,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammie,I Like It,4:09,1/29/2000,85,68,58,44,40,33,30,29,37,29,29,24,36,46,52,61,83,93,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goo Goo Dolls,Broadway,3:54,4/22/2000,74,58,53,42,35,31,29,25,29,26,24,33,46,48,57,62,74,82,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Mandy",I Wanna Be With You,4:12,6/17/2000,69,63,54,50,45,42,31,28,24,34,42,53,65,66,77,94,99,,,,,93,91,91,90,89,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,Forgot About Dre,3:42,1/22/2000,75,55,47,36,36,30,30,31,26,25,25,26,26,28,34,47,58,68,80,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo,Untitled (How Does It Feel),7:10,1/22/2000,77,56,35,26,25,25,28,28,31,35,39,44,51,60,73,79,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Messina, Jo Dee",That's The Way,3:17,6/24/2000,78,67,63,54,50,44,38,30,27,25,31,28,30,28,32,35,48,46,51,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant,My First Love,4:28,11/4/2000,70,62,56,43,39,33,26,26,26,31,32,31,38,38,52,57,64,73,81,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son By Four,A Puro Dolor (Purest Of Pain),3:30,4/8/2000,80,80,80,79,72,73,65,64,60,60,48,48,48,43,35,32,30,32,37,26,31,28,30,32,39,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Brat,What'Chu Like,3:57,6/3/2000,71,65,54,54,51,41,41,33,28,31,26,28,36,39,49,58,62,65,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,Party Up (Up In Here),3:45,2/26/2000,88,74,62,56,49,44,38,32,27,27,27,27,27,28,28,33,35,42,44,46,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
